"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
17952,12,5,4,68,7,2,1002,211,80,28.5714285714286,0,6049
17968,12,4,1,10,1,2,106,11,46,0,0,165812
17980,12,13,2,99,2,2,1395,84,54,50,0,14437
18004,12,5,1,37,1,2,101,11,46,0,0,246
18020,12,3,1,3,1,2,19,11,46,0,0,40
18059,12,32,1,147,1,1,385,11,46,0,0,1059
18121,12,91,1,403,1,3,10219,11,2,0,0,317
18401,12,307,3,992,4,3,17048,31,8,100,0,228115
18678,12,315,5,1433,8,3,22685,741,41,100,0,998
18946,12,325,1,1452,2,3,22431,81,8,100,0,978
19187,12,316,2,1442,2,3,22385,25,6,100,0,703
19368,12,7,1,39,1,2,114,11,52,100,0,168
19376,12,14,1,77,1,2,252,11,52,100,0,354
19406,12,7,1,33,1,2,223,11,52,100,0,1697
19483,12,106,1,607,1,2,16615,11,52,100,0,65
19578,12,12,2,88,2,2,849,102,54,100,0,982
19835,12,9,1,25,1,3,94,11,52,100,0,47
20374,12,6,1,12,1,1,61,11,52,100,0,1611
20383,12,8,1,35,1,1,211,11,52,100,0,25
20393,12,29,1,87,1,1,286,11,52,100,0,242
20456,12,32,1,100,1,1,314,11,52,100,0,25
20487,12,36,1,114,1,2,346,11,52,100,0,25
20511,12,43,1,146,1,2,1807,11,52,100,0,34
20549,12,39,1,133,1,2,406,11,52,100,0,40
20643,12,44,1,139,1,3,720,11,52,100,0,1304952
20710,12,7,1,19,1,2,107,11,52,100,0,22
20738,12,165,1,184,1,2,320,11,52,100,0,241112
20791,12,205,3,383,3,4,2654,23,56,100,0,274777
20868,12,168,1,188,1,5,716,11,52,100,0,78
20932,12,165,1,193,1,2,378,11,52,100,0,58
21014,12,169,1,200,1,2,477,12,59,100,0,65
21091,12,170,1,212,1,2,556,12,52,100,0,29
21114,12,5,1,47,1,1,140,12,52,100,0,28
21283,12,158,1,202,1,2,550,13,52,100,0,57
21330,12,175,1,268,1,2,1140,12,52,100,0,279
21402,12,176,1,280,1,2,1221,12,52,100,0,54
21439,12,182,1,306,1,5,1733,12,52,100,0,38
21526,12,568,1,2093,1,4,29604,50,2,100,0,69723
21777,12,569,1,2060,1,4,29824,12,65,100,0,1221
22061,12,9,1,28,1,1,117,13,70,100,0,59
22072,12,9,1,31,1,1,118,13,70,100,0,35
22086,12,11,1,53,1,1,154,13,67,100,0,37
22110,12,26,1,81,1,1,385,13,67,100,0,42
22160,12,14,1,45,1,1,585,13,60,100,0,29
22162,12,15,1,47,1,2,593,13,60,100,0,27
