"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
23297,12,11,1,35,1,3,146,11,62,100,0,24
23313,12,13,1,39,1,3,158,9,62,100,0,34
23349,12,18,1,45,1,4,164,9,62,100,0,736921
23381,12,9,1,99,1,1,383,13,62,100,0,11488
23405,12,11,1,109,1,1,420,13,62,100,0,37
23424,12,15,1,116,1,1,452,13,62,100,0,38
23441,12,17,1,119,1,1,486,13,62,100,0,34
23455,12,74,3,426,5,4,1952,72,69,100,0,164
23479,12,19,1,158,1,1,655,13,62,100,0,47
23523,12,7,1,19,1,2,64,13,62,100,0,1631
23543,12,8,1,37,1,2,136,13,62,100,0,33
23605,12,8,1,16,1,2,67,9,62,100,0,65
23634,12,21,1,93,1,2,274,13,62,100,0,3151
23650,12,25,1,116,1,2,323,13,62,100,0,1070
23689,12,37,3,160,3,2,2013,27,74,100,0,169314
23732,12,38,1,166,1,2,2018,13,66,100,0,32
23769,12,39,1,168,1,2,2020,13,66,100,0,40
23798,12,40,1,171,1,2,2024,13,66,100,0,28
23859,12,23,1,46,1,2,340,13,70,100,0,214215
23883,12,25,1,53,1,2,360,13,70,100,0,32
23954,12,7,1,11,1,2,144,13,70,100,0,714240
23973,12,8,1,17,1,2,162,13,70,100,0,37
24114,12,13,1,26,1,3,54,7,2,100,100,314312
24153,12,8,1,22,1,2,95,13,70,100,0,51
24196,12,19,1,67,1,3,317,13,70,100,0,349
24207,12,10,1,22,1,1,92,13,70,100,0,65
24220,12,14,1,43,1,1,313,13,70,100,0,38
24240,12,37,1,132,1,1,1761,13,70,100,0,31
24298,12,123,1,755,1,7,5015,13,66,100,0,34
24350,12,12,1,31,1,1,205,13,70,100,0,320
24415,12,6,1,29,1,2,108,13,70,100,0,170216
24479,12,9,1,12,1,2,50,13,70,100,0,45
24501,12,3,1,10,1,2,23,13,70,100,0,33
24551,12,11,1,59,1,3,608,13,70,100,0,60
